Il	Iل
-	-
Għasri	گħَسرِ
hu	هُ
raħal	رَħَل
żgħir	żغħِر
fil	فِل
gżira	غżِرَ
ta	تَ
'	ء
Għawdex	گħَودeخ
.	.
Fl	ًل
2005	2005
kien	كِeن
jgħodd	جغħْدد
371	371
ruħ	رُħ
biss	بِسس
huwa	هُوَ
magħruf	مَغħرُف
għal	غħَل
l	ل
għasel	غħَسeل
tajjeb	تَججeب
u	ُ
bnin	بنِن
Sa	صَ
ftit	فتِت
snin	سنِن
ilu	ِلُ
għad	غħَد
baqa	بَقَ
xi	خِ
daqqaqa	دَققَقَ
tal	تَل
qoton	قْتْن
knisja	كنِسجَ
parrokkjali	ةَررْككجَلِ
hija	هِجَ
ddedikata	ددeدِكَتَ
lil	لِل
Corpus	Cْرةُس
Christi	Cهرِستِ
Din	ضِن
bdiet	بدِeت
tinbena	تِنبeنَ
fl	فل
1903	1903
ġiet	ġِeت
ikkonsegrata	ِككْنسeغرَتَ
1916	1916
Fis	ًِس
16	16
Diċembru	ضِċeمبرُ
1921	1921
,	,
sar	سَر
parroċċa	ةَررْċċَ
Ta	طَ
min	مِن
jsemmi	جسeممِ
Bażilka	Bَżِلكَ
Madonna	Mَدْننَ
Patroċinju	پَترْċِنجُ
li	لِ
eqdem	eقدeم
waħda	وَħدَ
f	ف
t	ت
tielet	تِeلeت
pajjiż	ةَججِż
inbniet	ِنبنِeت
1739	1739
fanal	فَنَل
Ġurdan	Ġُردَن
jinsab	جِنسَب
fuq	فُق
għolja	غħْلجَ
dan	دَن
ir	ِر
beda	بeدَ
jinbena	جِنبeنَ
Ġunju	Ġُنجُ
1852	1852
xogħolhu	خْغħْلهُ
jgħin	جغħِن
lill	لِلل
vapuri	ثَةُرِ
jew	جeو
skejjen	سكeججeن
sabiex	سَبِeخ
jitbiegħdu	جِتبِeغħدُ
minn	مِنن
max	مَخ
xtajta	ختَجتَ
inkella	ِنكeللَ
jiksbu	جِكسبُ
d	د
dritt	درِتت
jidħlu	جِدħلُ
portijiet	ةْرتِجِeت
Maltin	Mَلتِن
Taħt	طَħت
istess	ِستeسس
hemm	هeمم
ħbula	ħبُلَ
raba	رَبَ
jwasslu	جوَسسلُ
sa	سَ
Wied	Wِeد
il	ِل
wied	وِeد
dejjaq	دeججَق
tawwali	تَووَلِ
ħanek	ħَنeك
tiegħu	تِeغħُ
ċagħqi	ċَغħقِ
Mat	Mَت
tul	تُل
insibu	ِنسِبُ
ħafna	ħَفنَ
qasab	قَسَب
imsejjħa	ِمسeججħَ
bil	بِل
latin	لَتِن
bħala	بħَلَ
"	"
arundo	َرُندْ
donax	دْنَخ
siġar	سِġَر
tat	تَت
tin	تِن
Bejn	Beجن
r	ر
Għarb	گħَرب
irħajjel	ِرħَججeل
Għammar	گħَممَر
jżomm	جżْمم
mitt	مِتت
jagħmel	جَغħمeل
mal	مَل
kunsill	كُنسِلل
lokali	لْكَلِ
imma	ِممَ
ma	مَ
Hekk	حeكك
kif	كِف
taqsam	تَقسَم
it	ِت
triq	ترِق
issib	ِسسِب
bażilka	بَżِلكَ
Pinu	پِنُ
Is	Iس
sindku	سِندكُ
Dr	ضر
Daniel	ضَنِeل
Attard	اتتَرد
maħtur	مَħتُر
isem	ِسeم
Partit	پَرتِت
Nazzjonalista	ٌَززجْنَلِستَ
Nistgħu	ٌِستغħُ
ngħidu	نغħِدُ
mill	مِلل
iżjed	ِżجeد
bini	بِنِ
importanti	ِمةْرتَنتِ
Knisja	ٍنِسجَ
Parrokjali	پَررْكجَلِ
Insibu	Iنسِبُ
wkoll	وكْلل
Fanal	ًَنَل
Bażilika	Bَżِلِكَ
Patrocinju	پَترْcِنجُ
Nies	ٌِeس
Magħrufa	Mَغħرُفَ
Għasrin	گħَسرِن
L	L
aktar	َكتَر
Toni	طْنِ
Calleja	Cَللeجَ
folklorista	فْلكلْرِستَ
kull	كُلل
sena	سeنَ
jikteb	جِكتeب
dwar	دوَر
drawwiet	درَووِeت
twemmin	توeممِن
tant	تَنت
ċkejken	ċكeجكeن
Kull	ٍُلل
joħroġ	جْħرْġ
enċikolpedija	eنċِكْلةeدِجَ
Raħal	Rَħَل
bit	بِت
titlu	تِتلُ
:	:
Korpus	ٍْرةُس
Jissemmew	چِسسeممeو
benefattur	بeنeفَتتُر
Salvu	صَلثُ
Gambin	گَمبِن
Ġanni	Ġَننِ
Saliba	صَلِبَ
Għasfur	گħَسفُر
daqqaq	دَققَق
Ġużepp	Ġُżeةة
Sultana	صُلتَنَ
bejjiegħ	بeججِeغħ
ilma	ِلمَ
żahar	żَهَر
Jum	چُم
Ringrazzjament	Rِنغرَززجَمeنت
(	(
Thanksgiving	طهَنكسغِثِنغ
Day	ضَي
)	)
festa	فeستَ
pubblika	ةُببلِكَ
Istati	Iستَتِ
Uniti	Uنِتِ
tiġi	تِġِ
ċċelebrata	ċċeلeبرَتَ
fir	فِر
Ħamis	Ħَمِس
Novembru	ٌْثeمبرُ
fit	فِت
tieni	تِeنِ
Tnejn	طنeجن
Kanada	ٍَنَدَ
Storja	صتْرجَ
biċċa	بِċċَ
kbir	كبِر
tan	تَن
nies	نِeس
jafu	جَفُ
dak	دَك
ġara	ġَرَ
nhar	نهَر
iżda	ِżدَ
jiftakru	جِفتَكرُ
ħarifa	ħَرِفَ
1621	1621
Lvant	Lثَنت
Amerika	امeرِكَ
Pellegrini	پeللeغرِنِ
grupp	غرُةة
separatisti	سeةَرَتِستِ
reliġjużi	رeلِġجُżِ
Ingilterra	Iنغِلتeررَ
għamlu	غħَملُ
tlett	تلeتت
ijiem	ِجِeم
biex	بِeخ
jiċċelebraw	جِċċeلeبرَو
tajba	تَجبَ
jirringrazzjaw	جِررِنغرَززجَو
Alla	اللَ
flimkien	فلِمكِeن
Amerikani	امeرِكَنِ
Nattivi	ٌَتتِثِ
Tradizzjonijiet	طرَدِززجْنِجِeت
famili	فَمِلِ
jeċċelebraw	جeċċeلeبرَو
din	دِن
billi	بِللِ
jieklu	جِeكلُ
dundjan	دُندجَن
Ħafna	Ħَفنَ
iqisu	ِقِسُ
għada	غħَدَ
Ġimgħa	Ġِمغħَ
b	ب
hekk	هeكك
jieħdu	جِeħدُ
weekend	وeeكeند
erbat	eربَت
Ewro	عورْ
munita	مُنِتَ
Ewropea	عورْةeَ
ewro	eورْ
simbolu	سِمبْلُ
€	€
;	;
kodiċi	كْدِċِ
bankarju	بَنكَرجُ
EUR	عUR
flus	فلُس
sittax	سِتتَخ
Unjoni	Uنجْنِ
jissejħu	جِسسeجħُ
ż	ż
żona	żْنَ
Pajjiżi	پَججِżِ
oħra	ْħرَ
jinsabu	جِنسَبُ
barra	بَررَ
jużaw	جُżَو
pajjiżhom	ةَججِżهْم
huma	هُمَ
dawn	دَون
pajjiżi	ةَججِżِ
mhux	مهُخ
indipendenti	ِندِةeندeنتِ
Kosovo	ٍْسْثْ
Gujana	گُجَنَ
Franċiża	ًرَنċِżَ
Reunion	Reُنِْن
Saint	صَِنت
Pierre	پِeررe
et	eت
Miquelon	Mِقُeلْن
Guadeloupe	گَُدeلُْةe
Martinique	Mَرتِنِقُe
Mayotte	Mَيْتتe
Fil	ًِل
qasam	قَسَم
ġab	ġَب
riforma	رِفْرمَ
sinifikattiva	سِنِفِكَتتِثَ
Ewropa	عورْةَ
bidla	بِدلَ
kontinent	كْنتِنeنت
jara	جَرَ
bħalha	بħَلهَ
żmien	żمِeن
Imperu	Iمةeرُ
Ruman	Rُمَن
mekkaniżmu	مeككَنِżمُ
jipperfezzjona	جِةةeرفeززجْنَ
s	س
Suq	صُق
Uniku	Uنِكُ
Ewropew	عورْةeو
jiffaċilita	جِففَċِلِتَ
kummerċ	كُممeرċ
ħieles	ħِeلeس
fost	فْست
membri	مeمبرِ
taż	تَż
meqjus	مeقجُس
fundaturi	فُندَتُرِ
pass	ةَسس
iktar	ِكتَر
kruċjali	كرُċجَلِ
proġett	ةرْġeتت
integrazzjoni	ِنتeغرَززجْنِ
politika	ةْلِتِكَ
muniti	مُنِتِ
fiż	فِż
Malta	Mَلتَ
artiklu	َرتِكلُ
Muniti	Mُنِتِ
għandek	غħَندeك
dettall	دeتتَلل
Malti	Mَلتِ
n	ن
Karti	ٍَرتِ
Flus	ًلُس
Hemm	حeمم
seba	سeبَ
karti	كَرتِ
5	5
10	10
20	20
50	50
100	100
200	200
500	500
bbażati	ببَżَتِ
tema	تeمَ
disinn	دِسِنن
komuni	كْمُنِ
Żminijiet	Żمِنِجِeت
Stili	صتِلِ
Ewropej	عورْةeج
Fuq	ًُق
in	ِن
naħa	نَħَ
quddiem	قُددِeم
twieqi	توِeقِ
bibien	بِبِeن
jissimbolizzaw	جِسسِمبْلِززَو
ispirtu	ِسةِرتُ
miftuħ	مِفتُħ
kooperazzjoni	كْْةeرَززجْنِ
tnax	تنَخ
stilla	ستِللَ
jirrappreżentaw	جِررَةةرeżeنتَو
id	ِد
dinamiżmu	دِنَمِżمُ
armonija	َرمْنِجَ
lum	لُم
wara	وَرَ
karta	كَرتَ
pont	ةْنت
wieħed	وِeħeد
mis	مِس
perjodi	ةeرجْدِ
istorja	ِستْرجَ
arkitettonika	َركِتeتتْنِكَ
Dawn	ضَون
komunikazzjoni	كْمُنِكَززجْنِ
qrib	قرِب
jeżistu	جeżِستُ
bejn	بeجن
ġnus	ġنُس
bqija	بقِجَ
tad	تَد
dinja	دِنجَ
kollha	كْللهَ
bħall	بħَلل
valuta	ثَلُتَ
legali	لeغَلِ
iż	ِż
monitarja	مْنِتَرجَ
fi	فِ
ħdan	ħدَن
Monetarja	Mْنeتَرجَ
Ekonomika	عكْنْمِكَ
ġie	ġِe
